Permutation,Code,TP,FP,FN,TN,Human Yes %,Model Yes %,McNemar p,Cohen kappa,McNemar p (FDR)
shuffle_3,GuiltMoreLikely,51,26,8,261,17.05,22.25,0.0029350556433200836,0.6901764550961285,0.004402583464980125
shuffle_3,GuiltLessLikely,5,9,26,306,8.96,4.05,0.005988120567053557,0.17630254387158206,0.007185744680464268
shuffle_3,NoInformation_Evidence,67,22,19,238,24.86,25.72,0.755228657504631,0.6864418018655232,0.755228657504631
shuffle_3,InnocentUntilProvenGuilty,6,17,3,320,2.6,6.65,0.0025768280029296875,0.35072246200037527,0.004402583464980125
shuffle_3,Confound,0,0,22,324,6.36,0.0,4.76837158203125e-7,0.0,1.430511474609375e-6
shuffle_3,Other,6,13,133,194,40.17,5.49,3.147208537399531e-26,-0.022880978414935527,1.8883251224397186e-25
original,GuiltMoreLikely,51,26,8,261,17.05,22.25,0.0029350556433200836,0.6901764550961285,0.004402583464980125
original,GuiltLessLikely,5,9,26,306,8.96,4.05,0.005988120567053557,0.17630254387158206,0.007185744680464268
original,NoInformation_Evidence,67,22,19,238,24.86,25.72,0.755228657504631,0.6864418018655232,0.755228657504631
original,InnocentUntilProvenGuilty,6,17,3,320,2.6,6.65,0.0025768280029296875,0.35072246200037527,0.004402583464980125
original,Confound,0,0,22,324,6.36,0.0,4.76837158203125e-7,0.0,1.430511474609375e-6
original,Other,6,13,133,194,40.17,5.49,3.147208537399531e-26,-0.022880978414935527,1.8883251224397186e-25
shuffle_2,GuiltMoreLikely,51,26,8,261,17.05,22.25,0.0029350556433200836,0.6901764550961285,0.004402583464980125
shuffle_2,GuiltLessLikely,5,9,26,306,8.96,4.05,0.005988120567053557,0.17630254387158206,0.007185744680464268
shuffle_2,NoInformation_Evidence,67,22,19,238,24.86,25.72,0.755228657504631,0.6864418018655232,0.755228657504631
shuffle_2,InnocentUntilProvenGuilty,6,17,3,320,2.6,6.65,0.0025768280029296875,0.35072246200037527,0.004402583464980125
shuffle_2,Confound,0,0,22,324,6.36,0.0,4.76837158203125e-7,0.0,1.430511474609375e-6
shuffle_2,Other,6,13,133,194,40.17,5.49,3.147208537399531e-26,-0.022880978414935527,1.8883251224397186e-25
shuffle_1,GuiltMoreLikely,51,26,8,261,17.05,22.25,0.0029350556433200836,0.6901764550961285,0.004402583464980125
shuffle_1,GuiltLessLikely,5,9,26,306,8.96,4.05,0.005988120567053557,0.17630254387158206,0.007185744680464268
shuffle_1,NoInformation_Evidence,67,22,19,238,24.86,25.72,0.755228657504631,0.6864418018655232,0.755228657504631
shuffle_1,InnocentUntilProvenGuilty,6,17,3,320,2.6,6.65,0.0025768280029296875,0.35072246200037527,0.004402583464980125
shuffle_1,Confound,0,0,22,324,6.36,0.0,4.76837158203125e-7,0.0,1.430511474609375e-6
shuffle_1,Other,6,13,133,194,40.17,5.49,3.147208537399531e-26,-0.022880978414935527,1.8883251224397186e-25
